Duración (días);Fecha de inicio;Fecha de fin;Temperatura máxima absoluta;Temperatura mínima absoluta
9;22/12/2013;30/12/2013;39.0;27.2
8;31/12/2004;07/01/2005;38.0;26.7
8;23/02/2017;02/03/2017;35.2;25.3
7;01/01/1989;07/01/1989;36.5;26.0
7;28/02/2023;06/03/2023;38.0;25.5
7;08/03/2023;14/03/2023;38.9;28.0
6;22/02/1981;27/02/1981;36.1;26.3
6;22/01/2021;27/01/2021;35.5;26.0
5;24/01/1965;28/01/1965;34.6;24.8
5;26/12/1971;30/12/1971;37.6;28.2
5;18/03/1980;22/03/1980;37.6;27.7
5;22/01/1986;26/01/1986;37.6;27.3
5;02/01/2001;06/01/2001;36.8;26.9
5;28/01/2013;01/02/2013;37.4;23.8
5;05/12/2022;09/12/2022;38.2;25.7
5;30/01/2024;03/02/2024;37.9;26.2
4;30/12/1969;02/01/1970;34.1;26.5
4;24/02/1970;27/02/1970;36.7;27.1
4;23/12/1970;26/12/1970;34.8;25.4
4;28/02/1987;03/03/1987;35.7;26.6
4;23/01/1989;26/01/1989;36.2;26.3
4;17/02/1992;20/02/1992;35.6;26.8
4;11/01/1993;14/01/1993;36.0;26.2
4;14/01/2003;17/01/2003;34.8;25.0
4;24/11/2008;27/11/2008;36.5;25.4
4;26/01/2010;29/01/2010;34.2;25.9
4;15/12/2013;18/12/2013;36.5;24.8
4;15/01/2014;18/01/2014;38.4;27.3
4;05/02/2018;08/02/2018;36.6;26.3
4;03/02/2020;06/02/2020;36.1;25.4
4;28/12/2021;31/12/2021;37.2;26.4
4;13/01/2022;16/01/2022;41.5;30.0
4;10/02/2023;13/02/2023;38.1;28.5
4;14/01/2025;17/01/2025;37.0;26.1
4;01/02/2025;04/02/2025;37.6;26.1
3;18/02/1965;20/02/1965;36.8;25.5
3;11/01/1967;13/01/1967;35.8;24.4
3;29/01/1969;31/01/1969;34.9;25.9
3;02/02/1979;04/02/1979;37.5;25.0
3;25/01/1982;27/01/1982;35.3;24.0
3;25/12/1982;27/12/1982;38.8;24.6
3;22/01/1983;24/01/1983;37.1;27.3
3;07/02/1983;09/02/1983;38.0;25.0
3;25/12/1983;27/12/1983;37.1;24.8
3;16/01/1984;18/01/1984;35.0;26.0
3;27/01/1987;29/01/1987;38.5;26.9
3;10/02/1989;12/02/1989;35.6;25.8
3;08/12/1994;10/12/1994;36.8;24.5
3;30/12/1994;01/01/1995;36.7;25.4
3;23/12/1996;25/12/1996;33.6;25.5
3;25/12/1998;27/12/1998;34.7;24.2
3;29/01/2003;31/01/2003;37.5;27.6
3;19/02/2006;21/02/2006;33.5;24.8
3;10/12/2006;12/12/2006;35.3;24.0
3;31/12/2007;02/01/2008;38.9;23.7
3;07/01/2008;09/01/2008;38.4;26.1
3;22/01/2009;24/01/2009;35.2;24.2
3;10/02/2010;12/02/2010;32.9;24.8
3;23/01/2011;25/01/2011;34.6;24.5
3;19/01/2012;21/01/2012;37.5;25.5
3;06/11/2012;08/11/2012;35.2;24.5
3;27/12/2015;29/12/2015;34.4;25.1
3;04/02/2016;06/02/2016;34.0;24.4
3;28/12/2017;30/12/2017;38.0;24.3
3;10/01/2018;12/01/2018;37.0;26.8
3;16/02/2018;18/02/2018;34.1;24.4
3;19/02/2019;21/02/2019;36.6;26.6
3;24/01/2020;26/01/2020;36.7;23.8
3;06/02/2023;08/02/2023;35.3;25.8
3;06/02/2024;08/02/2024;35.0;25.1
3;05/03/2025;07/03/2025;35.8;27.6
